position	matches	mismatches	insertions	deletions	flank	sample	locus_id
-1	256	0	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-2	255	0	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-3	254	1	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-4	255	0	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-5	254	1	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-6	253	0	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-7	250	3	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-8	253	0	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-9	250	2	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-10	251	1	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-11	251	0	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-12	250	1	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-13	234	16	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-14	250	0	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-15	250	0	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-16	249	1	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-17	249	1	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-18	250	0	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-19	250	0	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-20	248	1	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-21	249	0	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-22	248	0	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-23	247	1	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-24	247	1	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-25	248	0	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-26	247	1	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-27	248	0	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-28	248	0	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-29	248	0	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-30	246	0	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-31	246	0	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-32	246	0	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-33	246	0	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-34	244	1	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-35	245	0	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-36	244	0	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-37	244	0	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-38	244	0	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-39	244	0	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-40	244	0	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-41	242	2	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-42	243	1	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-43	241	3	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-44	244	0	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-45	242	1	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-46	242	0	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-47	241	1	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-48	241	0	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-49	241	0	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-50	241	0	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-51	241	0	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-52	239	2	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-53	240	1	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-54	241	0	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-55	241	0	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-56	241	0	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-57	241	0	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-58	241	0	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-59	240	1	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-60	241	0	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-61	239	2	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-62	241	0	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-63	241	0	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-64	240	1	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-65	240	1	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-66	240	0	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-67	238	0	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-68	238	0	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-69	238	0	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-70	238	0	0	0	left	HG00118_realigned.bam	chr1_13417_13421
